global_step,eval/winrate,episode/total_reward,episode/length,worker/entropy,worker/intrinsic_reward,worker/advantage,manager/cosines,manager/advantage,loss/total,loss/worker,loss/manager,loss/value_worker,loss/value_manager,ppg/aux_value_worker,charts/learning_rate,charts/steps_per_sec,charts/episode_reward/WinLossRewardFunction,charts/episode_reward/ResourceGatherRewardFunction,charts/episode_reward/ProduceWorkerRewardFunction,charts/episode_reward/ProduceBuildingRewardFunction,charts/episode_reward/AttackRewardFunction,charts/episode_reward/ProduceCombatUnitRewardFunction
9518400.0,,160.2,1386.0,,,,,,,,,,,,,,1.0,72.0,23.0,1.0,21.0,6.0
9796800.0,,,,0.0011616635601967573,0.048256609588861465,-1.5894572324981482e-09,0.06658771634101868,6.357828929992593e-09,0.8547486066818237,1.4778582226426806e-05,-0.03182298690080643,0.3340393602848053,0.4889126718044281,,0.00039921169658147003,,,,,,,
9871200.0,,,,,,,,,,,,,,,,1630.0342411219697,,,,,,
10024800.0,,,,0.0016924766823649406,-0.0012244919780641794,2.38418573772492e-09,-0.004366324283182621,-2.9007594548602356e-08,1.055031657218933,-0.00015901369624771178,-0.03298109024763107,0.3803694546222687,0.6415390968322754,,0.0003991746022795256,,,,,,,
10077600.0,,,,0.0017684687627479434,0.02542893961071968,-2.4636587880877414e-08,0.034851592034101486,-3.1789144649962964e-09,1.1309386491775513,0.00011916602670680732,-0.036090560257434845,0.4727632701396942,0.6222215890884399,,0.0003991658907424249,,,,,,,
10132800.0,,47.80000000000001,898.0,,,,,,,,,,,,,,-1.0,45.0,16.0,4.0,2.0,1.0
10171200.0,,,,,,,,,,,,,,,,1608.4380100657454,,,,,,
10221600.0,,,,0.0015757533255964518,-0.008031731471419334,-3.9736430812453705e-10,0.0388103611767292,-2.9802322831784522e-09,1.3481357097625732,-0.0003699838707689196,0.039413902908563614,0.5848187208175659,0.8023766279220581,,0.00039914190022824573,,,,,,,
10399200.0,,148.2,1637.0,,,,,,,,,,,,,,1.0,64.0,23.0,1.0,25.0,4.0
10473600.0,,,,,,,,,,,,,,,,1610.325514326521,,,,,,
10507200.0,,,,,,,,,,,,,,,,1610.3158044765719,,,,,,
10586400.0,,,,0.0014759940095245838,-0.051875002682209015,5.9604645663569045e-09,-0.08676406741142273,8.344650304081824e-09,0.8461148738861084,-5.7932178606279194e-05,0.06329167634248734,0.30594906210899353,0.6034142971038818,,0.0003990796065361057,,,,,,,
10634400.0,,79.4,1141.0,,,,,,,,,,,,,,-1.0,59.0,18.0,2.0,6.0,4.0
10732800.0,,,,0.0015214347513392568,-0.04176369309425354,-5.563100202721216e-09,-0.011121673509478569,4.172325152040912e-09,0.9069216847419739,0.0002689823159016669,0.029413586482405663,0.42349773645401,0.5131217241287231,,0.00039905399528770643,,,,,,,
10752000.0,,,,,,,,,,,,,,,,1611.8405103772457,,,,,,
10831200.0,,79.2,1630.0,,,,,,,,,,,,,,-1.0,34.0,9.0,1.0,44.0,3.0
10831200.0,,,,0.0012298052897676826,-0.03228301927447319,1.3411045607369942e-08,0.01270547229796648,-1.19209286886246e-09,1.171926736831665,-8.958533726399764e-05,-0.013699250295758247,0.3473831117153168,0.8107671141624451,,0.00039903658429722033,,,,,,,
10864800.0,,,,0.001118511543609202,0.010865814983844757,8.344650304081824e-09,0.019246762618422508,-1.152356521316733e-08,1.1247535943984985,5.2564988436643034e-05,-0.04791044071316719,0.38213151693344116,0.694775402545929,,0.000399030602836258,,,,,,,
10927200.0,,41.80000000000001,884.0,,,,,,,,,,,,,,-1.0,40.0,16.0,4.0,5.0,0.0
11205600.0,,,,0.0016776674892753363,-0.004388214088976383,4.5696895156766004e-09,0.004543284885585308,-7.847945404648726e-09,1.296845555305481,-0.0001705387549009174,0.025373239070177078,0.5425925254821777,0.7794726490974426,,0.00039896889121196667,,,,,,,
11248800.0,,,,0.0015818263636901975,-0.06837518513202667,-6.357828929992593e-09,-0.03493128716945648,-1.7086664527710127e-08,1.893891453742981,-0.00018010189523920417,-0.022333605214953423,0.6330865621566772,1.238306999206543,,0.0003989609330957098,,,,,,,
11311200.0,,,,0.0014353335136547685,-0.02386973239481449,1.5099843153620895e-08,-0.05433050915598869,-1.887480394202612e-08,0.8386849164962769,2.977553231175989e-05,-0.03810589015483856,0.23054172098636627,0.5700814723968506,,0.00039894938421877247,,,,,,,
11440800.0,,92.2,1532.0,,,,,,,,,,,,,,-1.0,64.0,21.0,1.0,7.0,5.0
11457600.0,,,,0.001146627007983625,-0.04147900268435478,-8.145968344308585e-09,-0.016863765195012093,1.9868215406226852e-10,1.3490326404571533,-5.461235195980407e-05,-0.013491650111973286,0.4860936105251312,0.8494042158126831,,0.0003989220391320519,,,,,,,
11457600.0,,,,,,,,,,,,,,,,1615.6027464477302,,,,,,
11618400.0,,150.2,1131.0,,,,,,,,,,,,,,1.0,62.0,22.0,1.0,30.0,4.0
11712000.0,,,,,,,,,,,,,,0.5052432417869568,,,,,,,,
11738400.0,,79.2,1294.0,,,,,,,,,,,,,,-1.0,58.0,20.0,1.0,5.0,4.0
11853600.0,,193.2,1895.0,,,,,,,,,,,,,,-1.0,78.0,30.0,1.0,89.0,4.0
11901600.0,,,,,,,,,,,,,,,,1617.7817657783944,,,,,,
11956800.0,,39.2,1025.0,,,,,,,,,,,,,,-1.0,36.0,15.0,1.0,4.0,1.0
11956800.0,,,,,,,,,,,,,,,,1618.1324433476134,,,,,,
11966400.0,,,,,,,,,,,,,,,,1618.1604193306644,,,,,,
11997600.0,,,,,,,,,,,,,,,,1618.3625567319082,,,,,,
12088800.0,,85.2,3560.0,,,,,,,,,,,,,,1.0,22.0,10.0,1.0,33.0,0.0
12254400.0,,,,0.0009959414601325989,0.041947491466999054,-1.3510386587256562e-08,0.05892762169241905,-2.7020773174513124e-08,0.9888006448745728,-7.566063868580386e-05,0.01216053869575262,0.3820507824420929,0.6188446879386902,,0.0003987670750823848,,,,,,,
12331200.0,,141.2,1000.0,,,,,,,,,,,,,,1.0,57.0,18.0,1.0,26.0,5.0
12333600.0,,,,,,,,,,,,,,,,1619.9541879104431,,,,,,
12518400.0,,,,,,,,,,,,,,,,1620.6579526077774,,,,,,
12571200.0,,79.2,1215.0,,,,,,,,,,,,,,-1.0,60.0,19.0,1.0,4.0,4.0
12602400.0,,70.2,1155.0,,,,,,,,,,,,,,-1.0,52.0,17.0,1.0,5.0,4.0
12650400.0,,,,,,,,,,,,,,,,1620.9066450453267,,,,,,
12664800.0,,,,0.0013887184904888272,-0.029612625017762184,5.563100202721216e-09,-0.009182343259453773,-4.76837147544984e-09,1.7100722789764404,-0.00019514310406520963,0.006629832088947296,0.6574179530143738,1.0591028928756714,,0.00039868321728015594,,,,,,,
12744000.0,,29.200000000000003,975.0,,,,,,,,,,,,,,-1.0,19.0,8.0,1.0,18.0,1.0
12820800.0,,164.2,1600.0,,,,,,,,,,,,,,1.0,70.0,24.0,1.0,34.0,4.0
12825600.0,,,,0.0012860770802944899,0.0033547186758369207,2.38418573772492e-09,0.0430016927421093,2.38418573772492e-09,1.1219788789749146,-2.1795380234834738e-05,0.0006764678400941193,0.4364255964756012,0.6862208247184753,,0.00039864961183237084,,,,,,,
12830400.0,,66.4,1007.0,,,,,,,,,,,,,,-1.0,44.0,13.0,2.0,21.0,2.0
13096800.0,,,,0.002075706608593464,-0.04753512889146805,-3.1789144649962964e-09,-0.06465613096952438,3.9736430812453705e-10,0.9176228046417236,0.00021602447668556124,-0.060101039707660675,0.32440268993377686,0.5333558320999146,,0.0003985919791233806,,,,,,,
13140000.0,,,,,,,,,,,,,,,,1622.4214596221816,,,,,,
13159200.0,,126.2,1235.0,,,,,,,,,,,,,,1.0,51.0,22.0,1.0,29.0,1.0
13243200.0,,,,0.0012799444375559688,-0.02233131229877472,1.5894572324981482e-09,-0.04454062134027481,-6.357828929992593e-09,1.0422964096069336,-4.63875949208159e-05,0.011317241005599499,0.3282022774219513,0.7253777980804443,,0.00039856036952256007,,,,,,,
13644000.0,,93.2,1096.0,,,,,,,,,,,,,,-1.0,51.0,16.0,1.0,30.0,4.0
13663200.0,,,,0.0016861720941960812,0.01712397299706936,-4.371007555903361e-09,0.05367562919855118,1.5894572324981482e-09,1.552103042602539,-0.0001358970912406221,-0.0009556655422784388,0.5191139578819275,1.0319143533706665,,0.0003984677487298837,,,,,,,
13800000.0,,,,,,,,,,,,,,,,1624.373966822819,,,,,,
13831200.0,,,,0.001463199034333229,-0.01047696452587843,9.139379031353201e-09,-0.03276802599430084,-9.934107758624577e-09,1.2407417297363281,8.934837387641892e-05,-0.07093575596809387,0.4740527868270874,0.6958572268486023,,0.0003984298961454186,,,,,,,
13864800.0,,89.2,1245.0,,,,,,,,,,,,,,-1.0,65.0,22.0,1.0,6.0,4.0
14080800.0,,41.6,695.0,,,,,,,,,,,,,,-1.0,28.0,9.0,3.0,16.0,2.0
